crop_code,crop_name,model_code,module_code_048,model_family,wrapper_adapter,source_plant_dir,install_crop_dir,genotype_stem,genotype_extensions,has_ecotype_file,default_profile_module,is_default_profile_module,default_outputs,cultivar_id_strategy,phenology_strategy,omniwrapper_readiness
BS,Sugarbeet,BSCER,BSCER048,CERES,CERES,Plant/CERES-Sugarbeet,SUGARBEET,BSCER048,"CUL,ECO,SPE",True,BSCER048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,good_v1_target
AM,Amaranth,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,Amaranth,AMGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
BC,Carinata,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,Carinata,BCGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
BG,Bambara groundnut,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,BambaraGroundnut,BGGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
BH,Bahia,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,BAHIA,BHGRO048,"CUL,ECO,SPE",True,PRFRM048,False,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
BN,Dry bean,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,DRYBEAN,BNGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
BR,Brachiaria,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,BRACHIARIA,BRGRO048,"CUL,ECO,SPE",True,PRFRM048,False,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
CB,Cabbage,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,CABBAGE,CBGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
CH,Chickpea,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,CHICKPEA,CHGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
CI,Chia,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,Chia,CIGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
CN,Canola,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,CANOLA,CNGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
CO,Cotton,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,cotton,COGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
CP,Cowpea,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,COWPEA,CPGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
FA,Fallow,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,FALLOW,FAGRO048,,False,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",special_case_no_eco
FB,Faba bean,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,FABABEAN,FBGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
FX,Flax,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,Flax,FXGRO048,,False,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",special_case_no_eco
