*Output file list

@FILENAME          DESCRIPTION
ET.OUT             Daily soil-plant-atmosphere output file           
SoilTemp.OUT       Daily soil temperature output file                
SoilWat.OUT        Daily soil water output file                      
Mulch.OUT          Daily surface mulch output file                   
SoilWater.OUT      Daily soil water output file by layer             
Evaluate.OUT       Evaluation output file (simulated vs. measured)   
MgmtEvent.OUT      Management event output file                      
SoilWatBal.OUT     Seasonal soil water balance                       
Summary.OUT        Seasonal summary output file                      
INFO.OUT           Information output file                           
WARNING.OUT        Warning messages                                  
LUN.LST            List of output files generated                    
