simulation_no,situation,site,year,cultivar,nitrogen,cwad_n,cwad_d,cwad_rmse,swad_n,swad_d,swad_rmse
1,UFCI2101_1,PSREU,2021,IH Williams,280,13,0.9906521366459434,498.2692507053835,12,0.9793943516026271,518.2742890209635
2,UFCI2101_2,PSREU,2021,NWG 2730,0,3,0.9380436836497361,164.02896791364267,3,0.8844308396711406,130.38662060707506
3,UFCI2101_3,PSREU,2021,NWG 2730,280,3,0.9921622616441829,215.27802867368888,3,0.9969737607799621,68.01430285309544
4,UFCI2201_1,PSREU,2022,IH Williams,0,6,0.9553912633283108,236.3974774951532,5,0.8789280943734656,310.40682221884236
5,UFCI2201_2,PSREU,2022,IH Williams,280,9,0.9368657122224708,1169.3520616945705,6,0.9458933658150874,652.1643161039691
6,UFCI2201_3,PSREU,2022,NWG 2730,0,5,0.5694942791645969,241.5775015106148,4,0.5373636608214745,170.55658605031613
7,UFCI2201_4,PSREU,2022,NWG 2730,168,5,0.9851480201449033,222.40391816776048,3,0.9729194341599078,90.708484464859
8,UFJA2101_1,WFREC,2021,IH Williams,0,4,0.991167192870589,136.22014007664214,4,0.9851284275689215,117.18257308161384
9,UFJA2101_2,WFREC,2021,IH Williams,224,6,0.9924238552284291,396.54075435081205,6,0.9807538028370085,415.33724862163825
10,UFJA2101_3,WFREC,2021,NWG 2730,0,3,0.9267451764361674,96.20555359056291,3,0.9454049881682062,44.556125654429756
11,UFJA2101_4,WFREC,2021,NWG 2730,112,3,0.9509447592039421,304.5133070436605,3,0.9468207725485114,189.46276239233222
12,UFJA2201_1,WFREC,2022,IH Williams,0,4,0.8626536861885286,718.8478528000251,4,0.7935577697869145,663.289228014446
13,UFJA2201_2,WFREC,2022,IH Williams,280,4,0.979001685789835,719.1455879973894,4,0.8564855037463104,1370.1692673463945
14,UFJA2201_3,WFREC,2022,NWG 2730,0,2,0.8912059540334869,155.11608556174951,2,0.7769152803753319,96.34287150012132
15,UFJA2201_4,WFREC,2022,NWG 2730,280,2,0.7167367428068894,882.6617769564965,2,0.5977247679280533,615.6572961071769
