simulation_no,situation,experiment,obs_flowering_date,sim_flowering_date,flowering_diff_days,site,year,cultivar,nitrogen_kg_ha
1,UFCI2101_1,UFCI2101,2021-06-06,2021-06-05,-1,PSREU,2021,IH Williams,280
2,UFCI2101_2,UFCI2101,2021-05-28,2021-05-29,1,PSREU,2021,NWG 2730,0
3,UFCI2101_3,UFCI2101,2021-05-28,2021-05-29,1,PSREU,2021,NWG 2730,280
4,UFCI2201_1,UFCI2201,2022-06-02,2022-06-02,0,PSREU,2022,IH Williams,0
5,UFCI2201_2,UFCI2201,2022-06-02,2022-06-02,0,PSREU,2022,IH Williams,280
6,UFCI2201_3,UFCI2201,2022-05-25,2022-05-26,1,PSREU,2022,NWG 2730,0
7,UFCI2201_4,UFCI2201,2022-05-25,2022-05-26,1,PSREU,2022,NWG 2730,168
8,UFJA2101_1,UFJA2101,2021-07-05,2021-07-06,1,WFREC,2021,IH Williams,0
9,UFJA2101_2,UFJA2101,2021-07-05,2021-07-06,1,WFREC,2021,IH Williams,224
10,UFJA2101_3,UFJA2101,2021-06-25,2021-06-18,-7,WFREC,2021,NWG 2730,0
11,UFJA2101_4,UFJA2101,2021-06-25,2021-06-18,-7,WFREC,2021,NWG 2730,112
12,UFJA2201_1,UFJA2201,2022-06-18,2022-06-20,2,WFREC,2022,IH Williams,0
13,UFJA2201_2,UFJA2201,2022-06-18,2022-06-20,2,WFREC,2022,IH Williams,280
14,UFJA2201_3,UFJA2201,2022-06-04,2022-06-05,1,WFREC,2022,NWG 2730,0
15,UFJA2201_4,UFJA2201,2022-06-04,2022-06-05,1,WFREC,2022,NWG 2730,280
