TRNO,Date,SWAD,LWAD,GWAD,CWAD,RWAD,PWAD,FLWAD,CHTD,CWID,L#SD,G#AD,P#AD,GSTD,RDPD,n_raw_rows,experiment,LAID
1,2021-05-18,33,23.1,NA,56.1,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,UFCI2101,NA
1,2021-05-24,17.16,28.46,NA,45.62,14.5,NA,NA,0.203,NA,3,NA,NA,NA,NA,1,UFCI2101,NA
1,2021-05-26,55.44,57.75,NA,113.2,28.5,NA,NA,0.317,0.22,4,NA,NA,NA,NA,1,UFCI2101,NA
1,2021-06-18,959.35,890.35,NA,1849.5,101.16666666666667,NA,NA,0.72375,NA,NA,NA,NA,NA,NA,4,UFCI2101,NA
1,2021-06-25,1158.3,959.7,NA,2117.875,NA,NA,NA,0.857,NA,NA,NA,NA,NA,NA,8,UFCI2101,NA
1,2021-07-02,2066.4,1009.12,NA,3076,426.3333333333333,NA,NA,1.3798,NA,NA,NA,NA,NA,NA,5,UFCI2101,NA
1,2021-07-16,2521.3333333333335,1456.3333333333333,NA,3977.6666666666665,467.25,NA,NA,1.8900000000000001,0.28,15,NA,NA,NA,NA,4,UFCI2101,NA
1,2021-07-25,3837,1834,NA,5659.75,560.2,NA,NA,1.8675,0.3175,19.75,NA,NA,NA,NA,4,UFCI2101,NA
1,2021-08-01,4997,2194.3333333333335,NA,7192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,UFCI2101,NA
1,2021-08-15,4895.4,1838.2,137.325,7044.2,788.6666666666666,NA,NA,2.054,0.338,NA,NA,NA,NA,NA,5,UFCI2101,NA
1,2021-08-25,NA,NA,446.73333333333335,NA,NA,NA,NA,2.0566666666666666,0.36,18.666666666666668,NA,NA,NA,NA,3,UFCI2101,NA
1,2021-09-01,4743.333333333333,1110.6666666666667,NA,5873.333333333333,NA,NA,NA,2.0549999999999997,0.33999999999999997,20.333333333333332,NA,NA,NA,NA,3,UFCI2101,NA
1,2021-09-10,3749.5,1074.25,784.95,5359.75,NA,NA,NA,1.8575,0.4925,NA,NA,NA,NA,NA,4,UFCI2101,NA
1,2021-09-30,NA,NA,871.32,5007.4,573,NA,NA,2.061,0.408,21.4,NA,NA,NA,NA,5,UFCI2101,NA
2,2021-05-25,19.45,48.623333333333335,NA,68.08333333333333,3.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,UFCI2101,NA
2,2021-07-01,395.90000000000003,334.23333333333335,22.083333333333332,752,53.916666666666664,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,UFCI2101,NA
2,2021-08-04,550,143,207,900,88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,UFCI2101,NA
3,2021-05-25,77.78,194.5,NA,272.3333333333333,13.616666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,UFCI2101,NA
3,2021-07-01,916.7333333333333,670.3,88.33333333333333,1675.6666666666667,215.66666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,UFCI2101,NA
3,2021-08-04,1545.5,812.5,906,3264,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,UFCI2101,NA
1,2022-06-02,14,24.857142857142858,NA,38.857142857142854,NA,NA,NA,0.1457142857142857,0.12071428571428572,6.571428571428571,NA,NA,NA,NA,7,UFCI2201,NA
1,2022-06-21,93,118.33333333333333,NA,325.05,NA,NA,NA,0.2966666666666667,0.1525,9.166666666666666,NA,NA,NA,NA,10,UFCI2201,NA
1,2022-07-08,NA,NA,NA,1092.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,UFCI2201,NA
1,2022-07-12,809.42,671.4,NA,1480.6,366,NA,NA,0.8079999999999999,0.18,12.4,NA,NA,NA,NA,5,UFCI2201,NA
1,2022-07-21,882.8,653.6,NA,1593.0785714285714,NA,NA,NA,0.787,0.231,16.3,NA,NA,NA,NA,14,UFCI2201,NA
1,2022-09-15,1532,323.93333333333334,414.85,1709.4857142857143,399.0571428571429,NA,NA,1.4966666666666666,0.45666666666666667,20.666666666666668,NA,NA,NA,NA,7,UFCI2201,NA
2,2022-06-18,NA,NA,NA,2047.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,UFCI2201,NA
2,2022-06-24,1357.7142857142858,1242.2857142857142,NA,2885.714285714286,NA,NA,NA,NA,0.25857142857142856,13.571428571428571,NA,NA,NA,NA,7,UFCI2201,NA
2,2022-07-08,NA,NA,NA,4207.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,UFCI2201,NA
2,2022-07-21,3774.5833333333335,2145.991666666667,34.96,6159.5,914.75,NA,NA,1.9408333333333334,0.2775,18.916666666666668,NA,NA,NA,NA,16,UFCI2201,NA
2,2022-07-28,4434.75,2616.5,NA,7051.25,970.5,NA,NA,1.9575,0.2975,20.75,NA,NA,NA,NA,4,UFCI2201,NA
2,2022-08-16,4676.25,2980.75,204.01666666666668,7867.25,972.025,NA,NA,2.18,NA,NA,NA,NA,NA,NA,21,UFCI2201,NA
2,2022-08-22,4727.5,2441.75,NA,7169.5,1113.125,NA,NA,2.11,NA,NA,NA,NA,NA,NA,4,UFCI2201,NA
2,2022-08-30,4756.4,1970.8,NA,6728,958.8666666666667,NA,NA,2.054,0.424,22.2,NA,NA,NA,NA,5,UFCI2201,NA
2,2022-09-15,NA,NA,958,6110.75,946.7666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,UFCI2201,NA
