experiment,TRNO,Date,row_type,n_rows
UFCI2101,1,2021-05-18,harvest_only,1
UFCI2101,1,2021-05-24,mixed_harvest,1
UFCI2101,1,2021-05-26,mixed_harvest,1
UFCI2101,1,2021-06-04,standing_only,4
UFCI2101,1,2021-06-18,mixed_harvest,4
UFCI2101,1,2021-06-18,standing_only,4
UFCI2101,1,2021-06-25,harvest_only,4
UFCI2101,1,2021-06-25,mixed_harvest,4
UFCI2101,1,2021-07-02,mixed_harvest,5
UFCI2101,1,2021-07-02,standing_only,9
UFCI2101,1,2021-07-09,standing_only,4
UFCI2101,1,2021-07-16,empty,1
UFCI2101,1,2021-07-16,mixed_harvest,4
UFCI2101,1,2021-07-16,standing_only,3
UFCI2101,1,2021-07-25,mixed_harvest,4
UFCI2101,1,2021-08-01,harvest_only,3
UFCI2101,1,2021-08-01,standing_only,4
UFCI2101,1,2021-08-15,harvest_only,1
UFCI2101,1,2021-08-15,mixed_harvest,4
UFCI2101,1,2021-08-15,standing_only,2
UFCI2101,1,2021-08-25,empty,4
UFCI2101,1,2021-08-25,mixed_harvest,3
UFCI2101,1,2021-08-25,standing_only,1
UFCI2101,1,2021-09-01,mixed_harvest,3
UFCI2101,1,2021-09-10,mixed_harvest,4
UFCI2101,1,2021-09-30,mixed_harvest,5
UFCI2101,2,2021-05-18,standing_only,3
UFCI2101,2,2021-05-25,harvest_only,3
UFCI2101,2,2021-05-25,standing_only,10
UFCI2101,2,2021-06-09,standing_only,10
UFCI2101,2,2021-06-23,standing_only,10
UFCI2101,2,2021-07-01,harvest_only,3
UFCI2101,2,2021-07-08,standing_only,10
UFCI2101,2,2021-07-19,standing_only,1
UFCI2101,2,2021-07-22,standing_only,10
UFCI2101,2,2021-08-04,harvest_only,4
UFCI2101,2,2021-08-04,standing_only,10
UFCI2101,3,2021-05-18,standing_only,3
UFCI2101,3,2021-05-25,harvest_only,3
UFCI2101,3,2021-05-25,standing_only,10
UFCI2101,3,2021-06-09,standing_only,10
