TRNO,DATE,CHTD,CWID,SWAD,LWAD,GWAD,CWAD,L#SD,G#AD,P#AD,GSTD,PWAD,RDPD,RWAD,FLWAD,Date,non_missing_biomass,non_missing_structure,row_type,experiment,LAID
1,2021-05-18T00:00:00Z,NA,NA,33,23.1,NA,56.1,NA,NA,NA,NA,NA,NA,10.2,NA,2021-05-18,4,0,harvest_only,UFCI2101,NA
1,2021-05-24T00:00:00Z,0.203,NA,17.16,28.46,NA,45.62,3,NA,NA,NA,NA,NA,14.5,NA,2021-05-24,4,2,mixed_harvest,UFCI2101,NA
1,2021-05-26T00:00:00Z,0.317,0.22,55.44,57.75,NA,113.2,4,NA,NA,NA,NA,NA,28.5,NA,2021-05-26,4,3,mixed_harvest,UFCI2101,NA
1,2021-06-04T00:00:00Z,0.4,0.15,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2021-06-04,0,3,standing_only,UFCI2101,NA
1,2021-06-04T00:00:00Z,0.36,0.14,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2021-06-04,0,3,standing_only,UFCI2101,NA
1,2021-06-04T00:00:00Z,0.42,0.18,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2021-06-04,0,3,standing_only,UFCI2101,NA
1,2021-06-04T00:00:00Z,0.37,0.13,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2021-06-04,0,3,standing_only,UFCI2101,NA
1,2021-06-18T00:00:00Z,0.89,0.18,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,2021-06-18,0,3,standing_only,UFCI2101,NA
1,2021-06-18T00:00:00Z,0.74,0.18,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,2021-06-18,0,3,standing_only,UFCI2101,NA
1,2021-06-18T00:00:00Z,0.78,0.21,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,2021-06-18,0,3,standing_only,UFCI2101,NA
1,2021-06-18T00:00:00Z,0.74,0.15,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,2021-06-18,0,3,standing_only,UFCI2101,NA
1,2021-06-18T00:00:00Z,0.77,NA,884.4,747.1,NA,1631,NA,NA,NA,NA,NA,NA,104,NA,2021-06-18,4,1,mixed_harvest,UFCI2101,NA
1,2021-06-18T00:00:00Z,0.62,NA,877.8,1056,NA,1933,NA,NA,NA,NA,NA,NA,132.1,NA,2021-06-18,4,1,mixed_harvest,UFCI2101,NA
1,2021-06-18T00:00:00Z,0.785,NA,1138,950.4,NA,2089,NA,NA,NA,NA,NA,NA,67.4,NA,2021-06-18,4,1,mixed_harvest,UFCI2101,NA
1,2021-06-18T00:00:00Z,0.72,NA,937.2,807.9,NA,1745,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-18,3,1,mixed_harvest,UFCI2101,NA
1,2021-06-25T00:00:00Z,0.895,NA,1939,1386,NA,3325,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-25,3,1,mixed_harvest,UFCI2101,NA
1,2021-06-25T00:00:00Z,0.75,NA,1150,825.4,NA,1975,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-25,3,1,mixed_harvest,UFCI2101,NA
1,2021-06-25T00:00:00Z,0.993,NA,1481,996,NA,2477,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-25,3,1,mixed_harvest,UFCI2101,NA
1,2021-06-25T00:00:00Z,0.79,NA,1188,833.6,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-25,3,1,mixed_harvest,UFCI2101,NA
1,2021-06-25T00:00:00Z,NA,NA,1300,789.4,NA,2089,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-25,3,0,harvest_only,UFCI2101,NA
1,2021-06-25T00:00:00Z,NA,NA,850.1,1004,NA,1854,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-25,3,0,harvest_only,UFCI2101,NA
1,2021-06-25T00:00:00Z,NA,NA,978.2,1068,NA,2046,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-25,3,0,harvest_only,UFCI2101,NA
1,2021-06-25T00:00:00Z,NA,NA,380.1,775.2,NA,1155,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-25,3,0,harvest_only,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.01,0.1,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,2021-07-02,0,3,standing_only,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.02,0.25,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,2021-07-02,0,3,standing_only,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.34,0.25,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,2021-07-02,0,3,standing_only,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.23,0.22,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,2021-07-02,0,3,standing_only,UFCI2101,NA
1,2021-07-02T00:00:00Z,0.89,0.16,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,2021-07-02,0,3,standing_only,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.21,NA,1622,996.9,NA,2619,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-02,3,1,mixed_harvest,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.05,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,2021-07-02,0,2,standing_only,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.23,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,2021-07-02,0,2,standing_only,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.65,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,2021-07-02,0,2,standing_only,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.39,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,2021-07-02,0,2,standing_only,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.399,NA,2550,1277,NA,3828,NA,NA,NA,NA,NA,NA,221,NA,2021-07-02,4,1,mixed_harvest,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.54,NA,2228,1083,NA,3312,NA,NA,NA,NA,NA,NA,795,NA,2021-07-02,4,1,mixed_harvest,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.44,NA,2128,555.7,NA,2683,NA,NA,NA,NA,NA,NA,263,NA,2021-07-02,4,1,mixed_harvest,UFCI2101,NA
1,2021-07-02T00:00:00Z,1.31,NA,1804,1133,NA,2938,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-02,3,1,mixed_harvest,UFCI2101,NA
1,2021-07-09T00:00:00Z,1.38,0.21,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,2021-07-09,0,3,standing_only,UFCI2101,NA
1,2021-07-09T00:00:00Z,1.55,0.235,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,2021-07-09,0,3,standing_only,UFCI2101,NA
