Date,L#SD_sim,GSTD_sim,SWAD_sim,GWAD_sim,RWAD_sim,CWAD_sim,PWAD_sim,CHTD_sim,CWID_sim,RDPD_sim,L#SD_obs,GSTD_obs,SWAD_obs,GWAD_obs,RWAD_obs,CWAD_obs,PWAD_obs,CHTD_obs,CWID_obs,RDPD_obs,situation,simulation_no,experiment,trno,site,year,cultivar,nitrogen_kg_ha,density_plants_m2
2021-05-05,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-06,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-07,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-08,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-09,0,0,1,0,3,4,0,0.02,0.03,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-10,0.3,0,1,0,3,5,0,0.02,0.03,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-11,0.6,0,1,0,3,5,0,0.02,0.04,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-12,0.9,0,2,0,3,7,0,0.03,0.05,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-13,1.2,0,2,0,3,7,0,0.04,0.06,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-14,1.4,0,2,0,3,9,0,0.05,0.07,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-15,1.6,0,2,0,3,11,0,0.05,0.07,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-16,1.8,0,2,0,4,13,0,0.06,0.08,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-17,2.1,0,3,0,4,17,0,0.06,0.08,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-18,2.3,0,3,0,5,20,0,0.07,0.09,0.46,NA,NA,33,NA,10.2,56.1,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-19,2.6,0,3,0,5,25,0,0.08,0.1,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-20,2.8,0,4,0,8,30,0,0.09,0.11,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-21,3,0,6,0,10,36,0,0.1,0.11,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-22,3.2,0,9,0,13,43,0,0.12,0.12,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-23,3.5,0,12,0,16,52,0,0.13,0.13,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-24,3.7,0,16,0,19,62,0,0.14,0.14,0.59,3,NA,17.16,NA,14.5,45.62,NA,0.203,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-25,3.9,0,21,0,23,74,0,0.16,0.15,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-26,4.1,0,26,0,27,88,0,0.17,0.16,0.63,4,NA,55.44,NA,28.5,113.2,NA,0.317,0.22,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-27,4.4,0,33,0,33,104,0,0.19,0.17,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-28,4.6,0,40,0,38,122,0,0.21,0.18,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-29,4.9,0,49,0,45,143,0,0.23,0.19,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-30,5.1,0,59,0,53,167,0,0.26,0.2,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-05-31,5.4,0,71,0,62,195,0,0.28,0.2,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-06-01,5.6,0,85,0,72,228,0,0.31,0.2,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-06-02,5.9,0,99,0,83,262,0,0.33,0.2,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-06-03,6.1,0,113,0,92,293,0,0.36,0.2,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-06-04,6.4,0,127,0,103,327,0,0.4,0.2,0.83,7.75,NA,NA,NA,NA,NA,NA,0.3875,0.15,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
2021-06-05,6.6,1,145,0,115,366,0,0.43,0.2,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFCI2101_1,1,UFCI2101,1,PSREU,2021,IH Williams,280,53.8
