simulation_no,situation,experiment,variable,n_pairs,d,rmse,obs_mean,sim_mean,obs_flowering_date,sim_flowering_date,flowering_diff_days
1,UFCI2101_1,UFCI2101,L#SD,12,0.9899984665682476,1.2391379918971748,13.825,14.216666666666667,2021-06-06,2021-06-05,-1
1,UFCI2101_1,UFCI2101,GSTD,0,NA,NA,NA,NA,2021-06-06,2021-06-05,-1
1,UFCI2101_1,UFCI2101,SWAD,12,0.9793943516026271,518.2742890209635,2419.4347222222223,2108.5,2021-06-06,2021-06-05,-1
1,UFCI2101_1,UFCI2101,GWAD,4,0.5917077768997872,334.1962902382786,560.0820833333333,807.5,2021-06-06,2021-06-05,-1
1,UFCI2101_1,UFCI2101,RWAD,9,0.7858668400913248,395.8629054450637,329.97962962962964,628.4444444444445,2021-06-06,2021-06-05,-1
1,UFCI2101_1,UFCI2101,CWAD,13,0.9906521366459434,498.2692507053835,3644.0303846153847,3670.153846153846,2021-06-06,2021-06-05,-1
1,UFCI2101_1,UFCI2101,PWAD,0,NA,NA,NA,NA,2021-06-06,2021-06-05,-1
1,UFCI2101_1,UFCI2101,CHTD,15,0.9778043063186697,0.21668885540163832,1.4115416666666667,1.5653333333333332,2021-06-06,2021-06-05,-1
1,UFCI2101_1,UFCI2101,CWID,13,0.4667423483848525,0.14065195040896572,0.3001923076923077,0.19692307692307692,2021-06-06,2021-06-05,-1
1,UFCI2101_1,UFCI2101,RDPD,0,NA,NA,NA,NA,2021-06-06,2021-06-05,-1
2,UFCI2101_2,UFCI2101,L#SD,2,0.9931266657315192,0.9620579793107871,9.333333333333334,8.4,2021-05-28,2021-05-29,1
2,UFCI2101_2,UFCI2101,GSTD,0,NA,NA,NA,NA,2021-05-28,2021-05-29,1
2,UFCI2101_2,UFCI2101,SWAD,3,0.8844308396711406,130.38662060707506,321.78333333333336,239,2021-05-28,2021-05-29,1
2,UFCI2101_2,UFCI2101,GWAD,2,0.8340535818299404,53.57008000948125,114.54166666666667,118,2021-05-28,2021-05-29,1
2,UFCI2101_2,UFCI2101,RWAD,3,0.6887466645101876,55.980477233221755,48.60688888888889,96,2021-05-28,2021-05-29,1
2,UFCI2101_2,UFCI2101,CWAD,3,0.9380436836497361,164.02896791364267,573.3611111111111,467.3333333333333,2021-05-28,2021-05-29,1
2,UFCI2101_2,UFCI2101,PWAD,0,NA,NA,NA,NA,2021-05-28,2021-05-29,1
2,UFCI2101_2,UFCI2101,CHTD,7,0.8564262555487764,0.2610049500838135,0.44965238095238097,0.6471428571428571,2021-05-28,2021-05-29,1
2,UFCI2101_2,UFCI2101,CWID,1,0,0.025333333333333333,0.06466666666666666,0.09,2021-05-28,2021-05-29,1
2,UFCI2101_2,UFCI2101,RDPD,0,NA,NA,NA,NA,2021-05-28,2021-05-29,1
3,UFCI2101_3,UFCI2101,L#SD,2,0.9865428958465151,1.3268592824996759,9.666666666666666,8.55,2021-05-28,2021-05-29,1
3,UFCI2101_3,UFCI2101,GSTD,0,NA,NA,NA,NA,2021-05-28,2021-05-29,1
3,UFCI2101_3,UFCI2101,SWAD,3,0.996973760779962,68.01430285309549,846.6711111111111,805.3333333333334,2021-05-28,2021-05-29,1
3,UFCI2101_3,UFCI2101,GWAD,2,0.94848522505094,151.378297284944,497.1666666666667,510,2021-05-28,2021-05-29,1
3,UFCI2101_3,UFCI2101,RWAD,3,0.9457346202098895,90.55923424702424,219.42777777777778,296.6666666666667,2021-05-28,2021-05-29,1
3,UFCI2101_3,UFCI2101,CWAD,3,0.9921622616441829,215.27802867368888,1737.3333333333333,1668.3333333333333,2021-05-28,2021-05-29,1
3,UFCI2101_3,UFCI2101,PWAD,0,NA,NA,NA,NA,2021-05-28,2021-05-29,1
3,UFCI2101_3,UFCI2101,CHTD,7,0.9513066596739322,0.2255497759444053,0.9075285714285715,0.7471428571428571,2021-05-28,2021-05-29,1
3,UFCI2101_3,UFCI2101,CWID,1,0,0.016333333333333325,0.11633333333333333,0.1,2021-05-28,2021-05-29,1
3,UFCI2101_3,UFCI2101,RDPD,0,NA,NA,NA,NA,2021-05-28,2021-05-29,1
4,UFCI2201_1,UFCI2201,GSTD,0,NA,NA,NA,NA,2022-06-02,2022-06-02,0
4,UFCI2201_1,UFCI2201,SWAD,5,0.8789280943734656,310.40682221884236,666.244,592.6,2022-06-02,2022-06-02,0
