n_cases,cwad_n,cwad_d,cwad_rmse,swad_n,swad_d,swad_rmse,score,subset_type,included,excluded
8,33,0.9869524036277657,474.3900629880537,32,0.9761532832251189,430.7792714545705,0.19598610857527876,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2201_2
8,37,0.9871378996507044,474.6470621729125,36,0.9757907818793814,440.0525356158387,0.1970232053293764,subset_min_8,UFCI2101_1; UFCI2101_3; UFJA2101_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_3; UFJA2201_2
8,35,0.9860636740864266,465.7748309024477,32,0.9756521599269712,429.82362145127007,0.19726841137611245,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_4; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2101_2; UFJA2201_2
8,35,0.9864157578410828,467.39603091097246,32,0.9760255002892861,431.4580413167191,0.19731681270846424,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_4; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2201_2
8,36,0.9869404542023869,479.85144297370067,35,0.9755647064078834,444.7244138928972,0.19773463603460545,subset_min_8,UFCI2101_1; UFCI2101_3; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2201_2
8,34,0.9871340765026582,468.8212042253584,33,0.9763455419648331,425.9476514860499,0.19776205198621905,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFJA2101_1; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_2; UFJA2101_3; UFJA2201_2
8,34,0.9868289024365745,467.1573280379607,33,0.97599823276093145,424.34227151839417,0.197966407198713,subset_min_8,UFCI2101_1; UFCI2101_3; UFJA2101_1; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_2; UFJA2201_2
8,36,0.9868197390920791,461.91334711332615,34,0.9744861999670511,432.8097308755001,0.1980136962705052,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_1; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2201_2
8,36,0.9870981411882601,463.50272173512116,34,0.9748563161715885,434.33760297850233,0.1980194968780376,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2201_2
8,37,0.9877732786205711,474.2522185221124,36,0.9765390976162619,439.5304080510735,0.19805279694240294,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2201_2; UFJA2201_3
8,37,0.9875219219343545,471.4685648006848,36,0.97608633570389,439.80242838535736,0.19807299620621427,subset_min_8,UFCI2101_1; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2201_2
8,38,0.987677076034571,467.78786155557225,37,0.9764103164787806,433.67244691505164,0.1983553060016654,subset_min_8,UFCI2101_1; UFCI2101_3; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2201_2; UFJA2201_3
8,38,0.9864292773896443,473.1979015202057,35,0.9754365987542899,445.3256109986126,0.1983973832035364,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_4; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2101_3; UFJA2201_2
8,38,0.987921816579458,469.27487039023646,37,0.9767161833601457,435.07385338868323,0.1985317011238809,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFJA2101_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_3; UFJA2201_2; UFJA2201_3
8,37,0.9877782682647348,472.9838138577458,36,0.976405367848122,441.22268892475455,0.1986213661807262,subset_min_8,UFCI2101_1; UFCI2101_2; UFJA2101_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_3; UFJA2201_2
8,35,0.9878532059368965,468.7535957041601,33,0.9769848910989679,428.1272620929695,0.1986315639995217,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2201_2
