subset_type,excluded,n,site,year,cultivar,nitrogen_kg_ha,case_label
subset_min_10,UFCI2201_2,15,PSREU,2022,IH Williams,280,"UFCI2201_2 (PSREU 2022, IH Williams, 280 kg N ha-1)"
subset_min_10,UFJA2201_2,15,WFREC,2022,IH Williams,280,"UFJA2201_2 (WFREC 2022, IH Williams, 280 kg N ha-1)"
subset_min_12,UFJA2201_2,15,WFREC,2022,IH Williams,280,"UFJA2201_2 (WFREC 2022, IH Williams, 280 kg N ha-1)"
subset_min_8,UFCI2201_2,15,PSREU,2022,IH Williams,280,"UFCI2201_2 (PSREU 2022, IH Williams, 280 kg N ha-1)"
subset_min_8,UFCI2201_3,15,PSREU,2022,NWG 2730,0,"UFCI2201_3 (PSREU 2022, NWG 2730, 0 kg N ha-1)"
subset_min_8,UFJA2201_2,15,WFREC,2022,IH Williams,280,"UFJA2201_2 (WFREC 2022, IH Williams, 280 kg N ha-1)"
subset_min_8,UFCI2201_1,13,PSREU,2022,IH Williams,0,"UFCI2201_1 (PSREU 2022, IH Williams, 0 kg N ha-1)"
subset_min_8,UFCI2201_4,12,PSREU,2022,NWG 2730,168,"UFCI2201_4 (PSREU 2022, NWG 2730, 168 kg N ha-1)"
subset_min_10,UFJA2101_1,10,WFREC,2021,IH Williams,0,"UFJA2101_1 (WFREC 2021, IH Williams, 0 kg N ha-1)"
subset_min_10,UFCI2201_3,9,PSREU,2022,NWG 2730,0,"UFCI2201_3 (PSREU 2022, NWG 2730, 0 kg N ha-1)"
subset_min_10,UFCI2201_4,8,PSREU,2022,NWG 2730,168,"UFCI2201_4 (PSREU 2022, NWG 2730, 168 kg N ha-1)"
subset_min_12,UFJA2201_4,8,WFREC,2022,NWG 2730,280,"UFJA2201_4 (WFREC 2022, NWG 2730, 280 kg N ha-1)"
subset_min_8,UFCI2101_2,8,PSREU,2021,NWG 2730,0,"UFCI2101_2 (PSREU 2021, NWG 2730, 0 kg N ha-1)"
subset_min_8,UFJA2101_1,8,WFREC,2021,IH Williams,0,"UFJA2101_1 (WFREC 2021, IH Williams, 0 kg N ha-1)"
subset_min_10,UFCI2201_1,7,PSREU,2022,IH Williams,0,"UFCI2201_1 (PSREU 2022, IH Williams, 0 kg N ha-1)"
subset_min_8,UFJA2101_2,7,WFREC,2021,IH Williams,224,"UFJA2101_2 (WFREC 2021, IH Williams, 224 kg N ha-1)"
subset_min_8,UFJA2101_3,7,WFREC,2021,NWG 2730,0,"UFJA2101_3 (WFREC 2021, NWG 2730, 0 kg N ha-1)"
subset_min_10,UFJA2101_3,6,WFREC,2021,NWG 2730,0,"UFJA2101_3 (WFREC 2021, NWG 2730, 0 kg N ha-1)"
subset_min_12,UFCI2201_2,5,PSREU,2022,IH Williams,280,"UFCI2201_2 (PSREU 2022, IH Williams, 280 kg N ha-1)"
subset_min_10,UFCI2101_2,4,PSREU,2021,NWG 2730,0,"UFCI2101_2 (PSREU 2021, NWG 2730, 0 kg N ha-1)"
subset_min_8,UFJA2201_3,3,WFREC,2022,NWG 2730,0,"UFJA2201_3 (WFREC 2022, NWG 2730, 0 kg N ha-1)"
subset_min_12,UFJA2101_1,2,WFREC,2021,IH Williams,0,"UFJA2101_1 (WFREC 2021, IH Williams, 0 kg N ha-1)"
subset_min_12,UFJA2101_3,2,WFREC,2021,NWG 2730,0,"UFJA2101_3 (WFREC 2021, NWG 2730, 0 kg N ha-1)"
subset_min_12,UFJA2201_1,2,WFREC,2022,IH Williams,0,"UFJA2201_1 (WFREC 2022, IH Williams, 0 kg N ha-1)"
subset_min_8,UFCI2101_3,2,PSREU,2021,NWG 2730,280,"UFCI2101_3 (PSREU 2021, NWG 2730, 280 kg N ha-1)"
subset_min_10,UFCI2101_3,1,PSREU,2021,NWG 2730,280,"UFCI2101_3 (PSREU 2021, NWG 2730, 280 kg N ha-1)"
subset_min_12,UFCI2101_2,1,PSREU,2021,NWG 2730,0,"UFCI2101_2 (PSREU 2021, NWG 2730, 0 kg N ha-1)"
subset_min_12,UFCI2101_3,1,PSREU,2021,NWG 2730,280,"UFCI2101_3 (PSREU 2021, NWG 2730, 280 kg N ha-1)"
subset_min_12,UFCI2201_1,1,PSREU,2022,IH Williams,0,"UFCI2201_1 (PSREU 2022, IH Williams, 0 kg N ha-1)"
subset_min_12,UFCI2201_3,1,PSREU,2022,NWG 2730,0,"UFCI2201_3 (PSREU 2022, NWG 2730, 0 kg N ha-1)"
subset_min_12,UFCI2201_4,1,PSREU,2022,NWG 2730,168,"UFCI2201_4 (PSREU 2022, NWG 2730, 168 kg N ha-1)"
subset_min_12,UFJA2101_4,1,WFREC,2021,NWG 2730,112,"UFJA2101_4 (WFREC 2021, NWG 2730, 112 kg N ha-1)"
subset_min_12,UFJA2201_3,1,WFREC,2022,NWG 2730,0,"UFJA2201_3 (WFREC 2022, NWG 2730, 0 kg N ha-1)"
