"","TRNO","location","cultivar","density","nitrogen","harvest","Mean_CWAD","Median_CWAD","SD_CWAD","Min_CWAD","Max_CWAD","Mean_GWAD","Median_GWAD","SD_GWAD","Min_GWAD","Max_GWAD","Count","planting","avg_planting_to_harvest"
"1",1,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",8926.8947368421,9175,1391.79164687251,5712,11150,1122.42105263158,1152,233.354359954858,641,1540,19,"01-March",130.263157894737
"2",2,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",9059.47368421053,9346,1317.46572244767,5887,11165,1146.78947368421,1193,236.797282958176,644,1526,19,"15-March",127.684210526316
"3",3,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",9230.15789473684,9303,1115.45517680541,6528,11002,1102.73684210526,1227,232.635585819267,561,1436,19,"01-April",123.894736842105
"4",4,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",9197.52631578947,9406,1059.93869678188,6905,10729,1074.15789473684,1138,245.03180364051,424,1413,19,"15-April",122.473684210526
"5",5,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",8898.36842105263,8800,1012.06577577889,7185,10432,1042.52631578947,1077,211.888956353467,439,1302,19,"01-May",121.052631578947
"6",6,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",8856.21052631579,8893,1033.51017728405,6967,10414,1052.05263157895,1093,195.648628834736,556,1333,19,"15-May",122.210526315789
"7",7,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",8959.21052631579,9202,947.811137946993,7538,10275,1138.57894736842,1128,194.542002259859,745,1475,19,"01-June",125
"8",8,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",8602,8929,928.76321584735,7042,9803,1118.78947368421,1144,197.394016274098,652,1364,19,"15-June",124.631578947368
"9",9,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",7753.68421052632,8140,836.038612387914,6056,8812,1016.63157894737,1026,146.712951229534,702,1286,19,"30-June",121.947368421053
"10",11,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",469.421052631579,466,131.614046780507,260,691,0,0,0,0,0,19,"01-March",44.4210526315789
"11",12,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",498.157894736842,519,128.570025519124,284,684,0,0,0,0,0,19,"15-March",42.2631578947368
"12",13,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",551.157894736842,585,127.127784863147,259,782,0,0,0,0,0,19,"01-April",39.2105263157895
"13",14,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",554.842105263158,553,123.910479853578,257,759,0,0,0,0,0,19,"15-April",37.7894736842105
"14",15,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",521.368421052632,565,138.279993943977,255,736,0,0,0,0,0,19,"01-May",36.2631578947368
"15",16,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",563.526315789474,589,149.868968109943,348,817,0,0,0,0,0,19,"15-May",37
"16",17,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",762.684210526316,756,212.629320814829,322,1177,0,0,0,0,0,19,"01-June",39.8947368421053
"17",18,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",756.210526315789,762,204.676052702087,299,1085,0,0,0,0,0,19,"15-June",39.5789473684211
"18",19,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",586.947368421053,585,111.584284877302,386,770,0,0,0,0,0,19,"30-June",37.2105263157895
"19",21,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",2318.84210526316,2518,605.776018669707,1063,3337,680.842105263158,713,193.164657210686,327,1010,19,"01-March",92.4210526315789
"20",22,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",2415.63157894737,2588,631.436036219234,987,3517,731.894736842105,808,199.7361856541,322,1043,19,"15-March",90.1052631578947
"21",23,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",2511.68421052632,2610,628.360216280048,1079,3673,772,836,192.574660846125,347,1105,19,"01-April",86.1578947368421
"22",24,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",2500.84210526316,2536,580.03460271856,1043,3437,745.526315789474,751,203.143454627253,324,1108,19,"15-April",84.5263157894737
"23",25,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",2462.94736842105,2442,593.158445544247,1194,3392,687.789473684211,694,196.997343170852,352,1004,19,"01-May",83.1578947368421
"24",26,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",2277.89473684211,2182,566.541446432929,1382,3158,604.263157894737,641,186.116105370714,212,916,19,"15-May",82.3157894736842
"25",27,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",2382.15789473684,2298,564.168046591901,1432,3310,647.789473684211,643,158.017080281907,328,880,19,"01-June",82.9473684210526
"26",28,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",2390,2370,607.55036371024,1234,3312,668.157894736842,680,174.046054938818,308,954,19,"15-June",83.3684210526316
"27",29,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",2242.68421052632,2181,446.791034008266,1530,3244,618,595,141.839894090328,270,858,19,"30-June",83.1052631578947
"28",31,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",252,255,65.1442843062826,142,358,0,0,0,0,0,19,"01-March",39.9473684210526
"29",32,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",266.473684210526,270,72.1736858950166,150,389,0,0,0,0,0,19,"15-March",38
