,location,cultivar,density,nitrogen,harvest,Mean_CWAD,SD_CWAD,SD_GWAD,Mean_GWAD,planting,avg_planting_to_harvest
1,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,7306.285714,750.3893085,124.8047809,903.3333333,03/01/2024,143.8095238
2,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,7522.761905,728.5095679,155.7865909,936.8095238,03/15/2024,139.1428571
3,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,7770.428571,651.2980555,157.2533443,1008.285714,04/01/2024,131.2380952
4,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,7764.809524,637.6692418,131.9414553,1027.047619,04/15/2024,127.6666667
5,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8034.857143,617.8521899,92.42860823,1185.380952,05/01/2024,128.6190476
6,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8679.428571,766.8049668,154.6224126,1347.095238,05/15/2024,134.7619048
7,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8724.904762,860.0678406,228.1423845,1302.380952,06/01/2024,137.8571429
8,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8100.857143,898.4216875,260.0338989,1186.142857,06/15/2024,135.2380952
9,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,7040.666667,803.5628372,227.9374079,1009.52381,06/30/2024,130.4285714
10,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,448.1904762,93.10833424,0,0,03/01/2024,57.23809524
11,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,507.9047619,120.9086038,0,0,03/15/2024,52.9047619
12,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,617.1904762,156.2176748,0,0,04/01/2024,46
13,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,659.2857143,139.6940023,0,0,04/15/2024,42.57142857
14,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,963.1428571,183.1805901,0,0,05/01/2024,43.28571429
15,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,1743,325.0198455,0,0,05/15/2024,49.9047619
16,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,2129.428571,444.4833598,0,0,06/01/2024,52.80952381
17,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,1716.857143,386.7343126,0,0,06/15/2024,49.57142857
18,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,997.7619048,250.3095893,0,0,06/30/2024,43.33333333
19,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,2069.142857,363.2140258,117.6373564,555.952381,03/01/2024,105.3333333
20,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,2347.428571,417.5950875,138.1304766,666.8571429,03/15/2024,101
21,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,2669.095238,461.2875356,179.4136216,788.3809524,04/01/2024,93.42857143
22,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,2739.52381,448.3023108,176.633775,769.2380952,04/15/2024,89.33333333
23,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,2774.571429,366.2875334,121.7541043,748.4761905,05/01/2024,86.19047619
24,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,2737.571429,476.8958557,135.9585546,742.1428571,05/15/2024,85.19047619
25,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,2781.952381,664.814446,185.5119942,790,06/01/2024,85.47619048
26,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,2687.380952,675.687759,185.0828515,775.8095238,06/15/2024,85.71428571
27,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,2370.095238,623.0337796,165.6364924,648.047619,06/30/2024,84.71428571
28,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,225.3809524,48.67183599,0,0,03/01/2024,51.71428571
29,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,270.3333333,58.40747669,0,0,03/15/2024,48.19047619
30,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,328.4761905,82.31926813,0,0,04/01/2024,41.71428571
31,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,336.8095238,73.42453204,0,0,04/15/2024,38
32,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,336.0952381,59.99158671,0,0,05/01/2024,35
33,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,332.2380952,69.06801341,0,0,05/15/2024,34.23809524
34,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,353.7142857,94.02135016,0,0,06/01/2024,34.42857143
35,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,351.5238095,90.08696856,0,0,06/15/2024,34.28571429
36,Jay (WFREC),NWG 2730,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Flowering,311.952381,81.0317692,0,0,06/30/2024,33.52380952
37,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8082.666667,1025.237013,173.8967811,1119.095238,03/01/2024,143.3809524
38,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8334.619048,1075.243622,214.4642827,1136.857143,03/15/2024,136.8095238
39,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8623.857143,944.2883715,235.0305249,1171.952381,04/01/2024,130.8095238
40,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8616,875.6626634,185.5208626,1215.095238,04/15/2024,127.4285714
