"","EXPERIMENT","MODEL","RUN","TRNO","DATE","DAS","DAP","L#SD","GSTD","LAID","LWAD","SWAD","GWAD","RWAD","VWAD","CWAD","G#AD","GWGD","HIAD","PWAD","P#AD","WSPD","WSGD","NSTD","PST1A","PST2A","KSTD","EWSD","LN%D","SH%D","HIPD","PWDD","PWTD","SLAD","CHTD","CWID","NWAD","RDPD","RL1D","RL2D","RL3D","RL4D","RL5D","RL6D","RL7D","RL8D","SNW0C","SNW1C","planting","location","cultivar","density","nitrogen","harvest"
"1","UFEG0302","CRGRO048",1,1,2005-07-13,194,134,19.7,8,1.858,1381,4356,711,1227,5737,6625,3495,20.3,0.107,889,3495,0,0,0,0,0,0,0,4.9,80.02,0.13,0,889,134.5,1.73,0.2,0,1,3.43,3.43,2.94,1.43,1.52,0.9,0.44,0.41,1949,548,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"2","UFEG0302","CRGRO048",2,1,2006-07-12,193,133,19.8,8,2.571,1893,6218,1278,1831,8111,9708,6277,20.4,0.132,1597,6277,0,0,0,0,0,0,0.088,4.98,80.04,0.16,0,1597,135.8,1.72,0.2,0,1,4.77,4.77,4.34,2.29,2.36,1.43,0.71,0.66,3106,855,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"3","UFEG0302","CRGRO048",3,1,2007-07-11,192,132,19.7,8,1.656,1178,3733,641,1087,4911,5712,3101,20.7,0.112,801,3101,0,0,0,0,0,0,0,4.87,80.03,0.14,0,801,140.7,1.69,0.2,0,1,2.92,2.92,2.73,1.34,1.35,0.81,0.4,0.37,1712,456,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"4","UFEG0302","CRGRO048",4,1,2008-07-10,192,132,19.2,8,2.022,1483,5132,1012,1521,6615,7880,4991,20.3,0.128,1265,4991,0,0,0,0,0,0,0,5,80.02,0.16,0,1265,136.3,1.68,0.2,0,1,3.99,3.99,3.25,1.99,1.99,1.19,0.59,0.55,2654,687,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"5","UFEG0302","CRGRO048",5,1,2009-07-10,191,131,19.4,8,2.026,1476,4758,821,1319,6234,7259,4107,20,0.113,1025,4107,0,0,0,0,0,0,0,4.93,80.05,0.14,0,1025,137.3,1.72,0.2,0,1,3.82,3.82,3.38,1.45,1.51,0.91,0.48,0.46,2222,653,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"6","UFEG0302","CRGRO048",6,1,2010-07-16,197,137,19.9,8,2.375,1725,5672,1100,1647,7398,8772,5521,19.9,0.125,1374,5521,0,0,0,0,0,0,0,4.94,80.03,0.16,0,1374,137.7,1.74,0.2,0,1,4.43,4.43,3.89,2.09,2,1.28,0.61,0.58,2784,770,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"7","UFEG0302","CRGRO048",7,1,2011-07-09,190,130,19.5,8,2.85,2128,7097,1540,1927,9226,11150,7564,20.4,0.138,1924,7564,0,0,0,0,0,0,0,4.94,80.05,0.17,0,1924,133.9,1.77,0.2,0,1,4.7,5.55,4.54,2.22,2.05,1.44,0.85,0.84,3592,1153,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"8","UFEG0302","CRGRO048",8,1,2012-07-05,187,127,19.5,8,2.612,1968,6340,1245,1890,8308,9863,6076,20.5,0.126,1555,6076,0,0,0,0,0,0,0,4.92,80.04,0.16,0,1555,132.7,1.71,0.2,0,1,4.76,4.85,4.85,2.42,2.42,1.45,0.72,0.67,3033,792,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"9","UFEG0302","CRGRO048",9,1,2013-07-14,195,135,20,8,2.589,1914,6206,1314,1793,8120,9761,6406,20.5,0.135,1641,6406,0,0,0,0,0,0,0.089,4.94,80.05,0.17,0,1641,135.3,1.75,0.2,0,1,4.79,4.79,4.39,2.15,2.28,1.34,0.68,0.64,3009,856,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"10","UFEG0302","CRGRO048",10,1,2014-07-11,192,132,19.7,8,2.628,1973,6449,1304,1879,8422,10052,6372,20.5,0.13,1630,6372,0,0,0,0,0,0,0,4.91,80.03,0.16,0,1630,133.2,1.74,0.2,0,1,3.85,4.56,4.64,2.53,2.54,1.6,0.8,0.74,3107,850,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
