,X,CWAD,GWAD,DAS,DAP,location,cultivar,density,nitrogen,harvest,planting
1,1,6939,892,202,142,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
2,2,6951,872,204,144,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
3,3,6602,753,197,137,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
4,4,7321,1076,206,146,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
5,5,5268,1029,205,145,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
6,6,7430,803,210,150,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
7,7,7104,743,208,148,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
8,8,7822,985,213,153,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
9,9,6786,581,203,143,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
10,10,8579,838,194,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
11,11,7753,862,215,155,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
12,12,6816,935,211,151,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
13,13,6313,819,195,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
14,14,7395,841,201,141,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
15,15,7846,995,202,142,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
16,16,8023,967,208,148,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
17,17,7541,927,206,146,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
18,18,8229,1094,197,137,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
19,19,6852,1011,202,142,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
20,20,7885,1033,203,143,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
21,21,7977,914,198,138,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/01/2024
22,22,6892,900,208,138,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
23,23,7330,920,209,139,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
24,24,6473,808,203,133,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
25,25,7476,1016,211,141,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
26,26,5572,1043,209,139,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
27,27,7262,728,215,145,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
28,28,7553,852,213,143,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
29,29,7857,1050,214,144,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
30,30,7324,588,210,140,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
